%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587895762076616,115,1454587895761828458,,115,2.23468179921,-1.54927068908,0.0102056351435,-2.39265146542,-1.56884829827,0.460774667848,3.0,0.75,0.008,0.0
1454587895770078412,116,1454587895769852264,,116,2.23470607866,-1.54903085495,0.0100551801916,-2.39182007352,-1.56886498735,0.460766406876,3.0,0.75,0.008,0.0
1454587895778074572,117,1454587895777883186,,117,2.23473650131,-1.54872305425,0.00985274157324,-2.39070323896,-1.56888682965,0.460756866771,3.0,0.75,0.008,0.0
1454587895786203333,118,1454587895786004113,,118,2.23476468331,-1.54842911575,0.00964853894402,-2.38957732402,-1.56890821622,0.460749011313,3.0,0.75,0.008,0.0
1454587895794223426,119,1454587895794020283,,119,2.23479061298,-1.54814921469,0.0094429166561,-2.38844278104,-1.56892916086,0.460742838819,3.0,0.75,0.008,0.0
1454587895802298555,120,1454587895802068143,,120,2.23481428027,-1.54788351223,0.00923620304731,-2.38730005735,-1.56894967735,0.460738346437,3.0,0.75,0.008,0.0
1454587895810254453,121,1454587895810080588,,121,2.23483567678,-1.54763215559,0.00902871081929,-2.38614959553,-1.56896977944,0.460735530173,3.0,0.75,0.008,0.0
1454587895818367347,122,1454587895818190522,,122,2.23485479572,-1.54739527817,0.00882073742163,-2.38499183359,-1.56898948085,0.460734384912,3.0,0.75,0.008,0.0
1454587895826448768,123,1454587895826241394,,123,2.2348716319,-1.5471729998,0.00861256544077,-2.38382720518,-1.56900879525,0.460734904441,3.0,0.75,0.008,0.0
1454587895834548089,124,1454587895834324553,,124,2.23488618173,-1.54696542684,0.0084044629925,-2.38265613984,-1.56902773624,0.460737081471,3.0,0.75,0.008,0.0
1454587895842551368,125,1454587895842312827,,125,2.23489559239,-1.54681945406,0.00824858512624,-2.38177387275,-1.56904170507,0.460739797001,3.0,0.75,0.008,0.0
1454587895850742005,126,1454587895850488615,,126,2.23490613711,-1.54663783175,0.00804120740104,-2.38059256454,-1.56906002506,0.460744853971,3.0,0.75,0.008,0.0
1454587895858786304,127,1454587895858518119,,127,2.23491439359,-1.54647113955,0.00783456514408,-2.37940598082,-1.56907800856,0.460751543049,3.0,0.75,0.008,0.0
1454587895866870074,128,1454587895866574270,,128,2.234920364,-1.54631943506,0.00762887573557,-2.37821453731,-1.5690956688,0.460759853125,3.0,0.75,0.008,0.0
1454587895874848004,129,1454587895874587868,,129,2.23492405202,-1.54618276334,0.00742434396909,-2.37701864649,-1.56911301886,0.460769772127,3.0,0.75,0.008,0.0
1454587895882991843,130,1454587895882739916,,130,2.2349254628,-1.54606115709,0.00722116244666,-2.37581871778,-1.56913007166,0.460781287045,3.0,0.75,0.008,0.0
